team_id,team_name,skills
1,Team A,confluence leadership laravel
2,Team B,gitlab team collaboration vmware
3,Team C,prometheus mlops iot
4,Team D,penetration testing vpn version control
5,Team E,logging arduino prometheus
6,Team F,cloud architecture computer vision express
7,Team G,docker ethical hacking load balancing
8,Team H,webpack software engineering slack
9,Team I,data modeling frontend functional programming
10,Team J,pandas cad modeling code review
11,Team K,app store asp.net system monitoring
12,Team L,snowflake xcode industrial automation
13,Team M,pandas git ui
14,Team N,application security route53 frontend
15,Team O,kotlin generative ai pandas
16,Team P,information security github mobile security
17,Team Q,devops keras eclipse
18,Team R,prometheus bash team collaboration
19,Team S,docker desktop code review power bi
20,Team T,ids network security excel
21,Team U,bitbucket cloud storage c++
22,Team V,s3 chatbot electronics
23,Team W,cross-browser testing typescript functional programming
24,Team X,android studio laravel visual studio
25,Team Y,team collaboration zero trust data preprocessing
26,Team Z,embedded systems mobile testing routing
27,Team [,industrial automation nextjs route53
28,Team \,frontend tensorflow statistics
29,Team ],feature engineering plc svelte
30,Team ^,kotlin langchain project management
31,Team _,neural networks routing cross-browser testing
32,Team `,powershell ips typescript
33,Team a,c pycharm datadog
34,Team b,kafka serverless bootstrap
35,Team c,tls leadership android studio
36,Team d,embedded systems design data analysis
37,Team e,data lakes gitlab ci chatbot
38,Team f,github graphql cad modeling
39,Team g,centos javascript presentation
40,Team h,s3 scikit-learn data visualization
41,Team i,cad modeling app store miro
42,Team j,solidworks r team collaboration
43,Team k,arduino logging centos
44,Team l,dns tdd xcode
45,Team m,infrastructure as code route53 ai ethics
46,Team n,supervised learning swift php
47,Team o,robotics transfer learning bdd
48,Team p,agile system monitoring dart
49,Team q,proxmox routing ec2
50,Team r,data bitbucket nlp
51,Team s,github numpy statistics
52,Team t,raspberry pi kotlin big data
53,Team u,unit testing windows server hyperparameter tuning
54,Team v,version control kanban release management
55,Team w,cloud architecture python model deployment
56,Team x,load balancing recommendation systems postman
57,Team y,ruby database laravel
58,Team z,excel ethical hacking soc
59,Team {,cypress gcp tailwind
60,Team |,matlab innovation ec2
61,Team },macos troubleshooting scikit-learn
62,Team ~,kotlin notion ssl
63,Team ,cypress data lakehouse prometheus
64,Team ,routing s3 troubleshooting
65,Team ,redux matplotlib pair programming
66,Team ,html siem communication systems
67,Team ,nestjs api development eclipse
68,Team ,statistics typescript python
69,Team ,problem solving cloud load balancing
70,Team ,centos express full stack
71,Team ,data pipelines vulnerability scanning integration testing
72,Team ,cloudfront kubernetes macos
73,Team ,responsive design mobile ui ui
74,Team ,spring boot kotlin keras
75,Team ,robotics rust fastapi
76,Team ,scrum shell scripting c
77,Team ,application security classification ui
78,Team ,zero trust scada webpack
79,Team ,kafka java (android) bash scripting
80,Team ,cloud dhcp etl
81,Team ,fastapi speech recognition react native
82,Team ,critical thinking ruby visual studio
83,Team ,industrial automation macos firewall
84,Team ,pandas artifact registry tcp/ip
85,Team ,proxmox bash nodejs
86,Team ,kanban dns generative ai
87,Team ,lambda data pipelines flask
88,Team ,web performance research prometheus
89,Team ,tensorflow asp.net model deployment
90,Team ,c responsive design cloud
91,Team ,web security devops app store
92,Team ,security load balancing software architecture
93,Team ,design incident response critical thinking
94,Team ,cryptography ui in-app payments
95,Team ,route53 api development cloud architecture
96,Team  ,sass kotlin business intelligence
97,Team ¡,prometheus react native s3
98,Team ¢,linux redux api integration
99,Team £,trello backend data analysis
100,Team ¤,babel kanban system design
101,Team ¥,power bi unit testing release management
102,Team ¦,snowflake troubleshooting data labeling
103,Team §,bash design patterns fastapi
104,Team ¨,kotlin integration testing load balancing
105,Team ©,svelte time series analysis design
106,Team ª,clustering langchain scada
107,Team «,business intelligence data pipelines data
108,Team ¬,file systems notion big data
109,Team ­,firewall robotics flask
110,Team ®,xcode monday nextjs
111,Team ¯,feature engineering frontend fastapi
112,Team °,serverless plc splunk
113,Team ±,lua team collaboration frontend
114,Team ²,unit testing process management vector databases
115,Team ³,html scrum css
116,Team ´,iot postman bdd
117,Team µ,kubernetes visual studio accessibility
118,Team ¶,wireshark forensics bash scripting
119,Team ·,mechanical design model deployment vite
120,Team ¸,php perl play store
121,Team ¹,data wrangling monitoring system administration
122,Team º,ui plc innovation
123,Team »,xcode python file systems
124,Team ¼,c++ unsupervised learning lua
125,Team ½,data analysis machine learning api development
126,Team ¾,macos etl image processing
127,Team ¿,tensorflow industrial automation artifact registry
128,Team À,system monitoring full stack ansible
129,Team Á,dart gitops application security
130,Team Â,c++ supervised learning ux
131,Team Ã,app store figma critical thinking
132,Team Ä,autoML java (android) database
133,Team Å,oop cloud metasploit
134,Team Æ,routing cypress kafka
135,Team Ç,raspberry pi industrial automation git
136,Team È,sql data pipelines monitoring
137,Team É,anomaly detection grafana team collaboration
138,Team Ê,lua keras splunk
139,Team Ë,speech recognition dhcp ssl
140,Team Ì,angular php github actions
141,Team Í,scala penetration testing speech recognition
142,Team Î,c++ cloud storage model deployment
143,Team Ï,etl forensics classification
144,Team Ð,ansible pair programming vector databases
145,Team Ñ,software engineering xcode tableau
146,Team Ò,rust data governance api
147,Team Ó,electronics gcp scada
148,Team Ô,babel c# cypress
149,Team Õ,database design file systems
150,Team Ö,c# zero trust pandas
151,Team ×,cad modeling mlops mobile testing
152,Team Ø,vmware ec2 proxmox
153,Team Ù,slack ethical hacking industrial automation
154,Team Ú,azure babel monday
155,Team Û,debugging ruby route53
156,Team Ü,system design ui model deployment
157,Team Ý,c splunk vue
158,Team Þ,ui data governance intellij
159,Team ß,wireshark descriptive analytics encryption
160,Team à,automation model optimization proxmox
161,Team á,figma soc performance optimization
162,Team â,deep learning descriptive analytics security
163,Team ã,supervised learning proxmox sonarqube
164,Team ä,time series analysis r bootstrap
165,Team å,bdd elasticsearch asp.net
166,Team æ,monitoring model deployment nlp
167,Team ç,statistics php innovation
168,Team è,data pipelines openai api pandas
169,Team é,scikit-learn dns embedded systems
170,Team ê,soc git vscode
171,Team ë,postman c# proxmox
172,Team ì,intellij ubuntu ci/cd
173,Team í,transfer learning model optimization signal processing
174,Team î,statistics software architecture robotics
175,Team ï,predictive modeling incident response mocha
176,Team ð,mocha backend cad modeling
177,Team ñ,figma siem ec2
178,Team ò,system design elasticsearch gitkraken
179,Team ó,vhdl android studio terraform
180,Team ô,centos cad modeling api integration
181,Team õ,postman autoML api integration
182,Team ö,eclipse notion leadership
183,Team ÷,eclipse zero trust infrastructure as code
184,Team ø,backend zero trust mlops
185,Team ù,dart snowflake devops
186,Team ú,performance optimization docker desktop flutter
187,Team û,typescript data analysis clustering
188,Team ü,slack chatbot unit testing
189,Team ý,splunk apache spark switching
190,Team þ,prometheus eclipse mobile ui
191,Team ÿ,express vulnerability scanning github actions
192,Team Ā,model optimization data lakehouse recommendation systems
193,Team ā,scala mocha lambda
194,Team Ă,encryption data pipelines app store
195,Team ă,clustering langchain pandas
196,Team Ą,proxmox python kafka
197,Team ą,vmware grafana documentation
198,Team Ć,classification version control angular
199,Team ć,tcp/ip image processing kotlin
200,Team Ĉ,gcp project management control systems
201,Team ĉ,data gcp vscode
202,Team Ċ,penetration testing predictive modeling web performance
203,Team ċ,swift android studio model evaluation
204,Team Č,system monitoring bash jest
205,Team č,flask firebase dns
206,Team Ď,nosql mocha mobile security
207,Team ď,virtualization control systems ansible
208,Team Đ,gitlab ci design chatbot
209,Team đ,regression scala swift
210,Team Ē,pytorch ethical hacking haskell
211,Team ē,confluence miro innovation
212,Team Ĕ,in-app payments nmap push notifications
213,Team ĕ,autoML neural networks recommendation systems
214,Team Ė,version control integration testing confluence
215,Team ė,cloud file systems network architecture
216,Team Ę,data preprocessing file systems ssl
217,Team ę,azure sass supervised learning
218,Team Ě,app store computer vision intellij
219,Team ě,jira responsive design web security
220,Team Ĝ,code review kanban database
221,Team ĝ,model optimization wireshark signal processing
222,Team Ğ,numpy big data bash scripting
223,Team ğ,presentation elasticsearch haskell
224,Team Ġ,devops tensorflow go
225,Team ġ,matplotlib monday microservices
226,Team Ģ,bootstrap play store gitlab
227,Team ģ,zero trust sonarqube data wrangling
228,Team Ĥ,sql api swift
229,Team ĥ,infrastructure as code computer vision solidworks
230,Team Ħ,ai information security automation
231,Team ħ,serverless nodejs git
232,Team Ĩ,terraform microservices unit testing
233,Team ĩ,tls mlops data analysis
234,Team Ī,shell scripting ddos protection ips
235,Team ī,excel cross-browser testing babel
236,Team Ĭ,cad modeling intellij automation
237,Team ĭ,nestjs data preprocessing centos
238,Team Į,model evaluation information security graphql
239,Team į,vulnerability scanning vscode data
240,Team İ,html php terraform
241,Team ı,spring boot api development lambda
242,Team Ĳ,virtualbox eclipse new relic
243,Team ĳ,load balancing cross-browser testing keras
244,Team Ĵ,software architecture express microservices
245,Team ĵ,incident response generative ai pandas
246,Team Ķ,kotlin vite data analysis
247,Team ķ,release management matplotlib dotnet
248,Team ĸ,lua serverless devops
249,Team Ĺ,dimensionality reduction accessibility model optimization
250,Team ĺ,firebase artifact registry microservices
251,Team Ļ,responsive design apache spark signal processing
252,Team ļ,monitoring github actions tailwind
253,Team Ľ,ai ethics metasploit business intelligence
254,Team ľ,laravel cloud storage snowflake
255,Team Ŀ,unsupervised learning perl lambda
256,Team ŀ,in-app payments critical thinking clustering
257,Team Ł,elasticsearch monday control systems
258,Team ł,powershell cybersecurity tls
259,Team Ń,apache spark data analysis serverless
260,Team ń,eclipse system monitoring encryption
261,Team Ņ,unsupervised learning probability typescript
262,Team ņ,webpack microservices system administration
263,Team Ň,sql bootstrap arduino
264,Team ň,ruby angular deep learning
265,Team ŉ,typescript switching probability
266,Team Ŋ,project management network security api
267,Team ŋ,vhdl frontend cloud storage
268,Team Ō,nextjs matplotlib tableau
269,Team ō,encryption unit testing tcp/ip
270,Team Ŏ,github actions information security monitoring
271,Team ŏ,aws plc vscode
272,Team Ő,database data preprocessing infrastructure as code
273,Team ő,visual studio bash signal processing
274,Team Œ,numpy process management arduino
275,Team œ,cypress langchain unit testing
276,Team Ŕ,matplotlib datadog github
277,Team ŕ,angular data pipelines ids
278,Team Ŗ,web security cad modeling vmware
279,Team ŗ,web performance rust cron jobs
280,Team Ř,reinforcement learning penetration testing network security
281,Team ř,scada zero trust nextjs
282,Team Ś,ddos protection tcp/ip electronics
283,Team ś,scrum c jira
284,Team Ŝ,database graphql postman
285,Team ŝ,google cloud oop frontend
286,Team Ş,cloud nlp business intelligence
287,Team ş,typescript dart kubernetes
288,Team Š,leadership prometheus dhcp
289,Team š,problem solving supervised learning typescript
290,Team Ţ,gcp descriptive analytics shell scripting
291,Team ţ,bash scripting business intelligence mocha
292,Team Ť,typescript cron jobs docker desktop
293,Team ť,angular route53 data visualization
294,Team Ŧ,backend statistics new relic
295,Team ŧ,gitkraken innovation jest
296,Team Ũ,reinforcement learning websocket soc
297,Team ũ,docker keras apache spark
298,Team Ū,deep learning cad modeling load balancing
299,Team ū,api ai cron jobs
300,Team Ŭ,artifact registry mechanical design scrum
301,Team ŭ,ui load balancing soc
302,Team Ů,full stack azure documentation
303,Team ů,zero trust javascript innovation
304,Team Ű,infrastructure as code model evaluation monday
305,Team ű,svelte solidworks flask
306,Team Ų,java notion javascript
307,Team ų,perl c nmap
308,Team Ŵ,proxy servers data google cloud
309,Team ŵ,django prometheus spring boot
310,Team Ŷ,mobile security in-app payments gitops
311,Team ŷ,mlops in-app payments penetration testing
312,Team Ÿ,power bi spring boot deep learning
313,Team Ź,logging selenium virtualbox
314,Team ź,performance optimization cron jobs php
315,Team Ż,mobile security documentation data
316,Team ż,cloud storage vulnerability scanning model deployment
317,Team Ž,ddos protection routing c++
318,Team ž,data wrangling speech recognition pytorch
319,Team ſ,model deployment intellij slack
320,Team ƀ,javascript kafka load balancing
321,Team Ɓ,azure descriptive analytics data modeling
322,Team Ƃ,docker desktop virtualbox data warehousing
323,Team ƃ,perl mocha route53
324,Team Ƅ,azure security google cloud
325,Team ƅ,python anomaly detection babel
326,Team Ɔ,ux data preprocessing plc
327,Team Ƈ,vhdl datadog react native
328,Team ƈ,kotlin langchain tableau
329,Team Ɖ,predictive analytics simulation nestjs
330,Team Ɗ,load balancing nestjs predictive modeling
331,Team Ƌ,bash scripting figma vector databases
332,Team ƌ,route53 miro tailwind
333,Team ƍ,cross-browser testing cloudfront functional programming
334,Team Ǝ,predictive analytics rust web performance
335,Team Ə,selenium html security
336,Team Ɛ,data visualization predictive analytics hyperparameter tuning
337,Team Ƒ,ddos protection penetration testing recommendation systems
338,Team ƒ,iot penetration testing haskell
339,Team Ɠ,java business intelligence bootstrap
340,Team Ɣ,design patterns dotnet cross-browser testing
341,Team ƕ,centos data pipelines dart
342,Team Ɩ,routing gcp apache spark
343,Team Ɨ,unit testing bdd firewall
344,Team Ƙ,routing jest api
345,Team ƙ,bootstrap application security zero trust
346,Team ƚ,release management rust vector databases
347,Team ƛ,xcode metasploit bitbucket
348,Team Ɯ,predictive modeling data warehousing debugging
349,Team Ɲ,apache spark statistics debugging
350,Team ƞ,vpc mobile ui nlp
351,Team Ɵ,vpn research presentation
352,Team Ơ,security keras solidworks
353,Team ơ,trello kafka typescript
354,Team Ƣ,airflow cloud storage generative ai
355,Team ƣ,gcp graphql artifact registry
356,Team Ƥ,macos network architecture scikit-learn
357,Team ƥ,clustering serverless monitoring
358,Team Ʀ,chatbot grafana verilog
359,Team Ƨ,network architecture html bash
360,Team ƨ,database pair programming classification
361,Team Ʃ,graphql azure scrum
362,Team ƪ,php spring boot logging
363,Team ƫ,ubuntu terraform windows server
364,Team Ƭ,data wrangling nosql routing
365,Team ƭ,xcode hyperparameter tuning system monitoring
366,Team Ʈ,swift nmap project management
367,Team Ư,git bash ruby
368,Team ư,notion feature engineering autocad
369,Team Ʊ,database seaborn jest
370,Team Ʋ,research design patterns api development
371,Team Ƴ,ai ethics forensics fastapi
372,Team ƴ,prometheus documentation big data
373,Team Ƶ,frontend babel webpack
374,Team ƶ,integration testing datadog java (android)
375,Team Ʒ,snowflake keras troubleshooting
376,Team Ƹ,mobile ui time series analysis data preprocessing
377,Team ƹ,performance optimization gitlab ci ui
378,Team ƺ,regression app store information security
379,Team ƻ,big data powershell integration testing
380,Team Ƽ,virtualbox network security grafana
381,Team ƽ,predictive analytics api integration html
382,Team ƾ,grafana apache spark pytorch
383,Team ƿ,mlops pair programming api development
384,Team ǀ,huggingface chatbot laravel
385,Team ǁ,angular haskell hadoop
386,Team ǂ,application security big data classification
387,Team ǃ,team collaboration firebase soc
388,Team Ǆ,ai data labeling sonarqube
389,Team ǅ,ansible terraform nlp
390,Team ǆ,dotnet transfer learning cloud storage
391,Team Ǉ,bash scripting problem solving s3
392,Team ǈ,cypress websocket huggingface
393,Team ǉ,encryption research release management
394,Team Ǌ,reinforcement learning classification centos
395,Team ǋ,cloud storage anomaly detection seaborn
396,Team ǌ,apache spark leadership control systems
397,Team Ǎ,google cloud speech recognition numpy
398,Team ǎ,data pipelines critical thinking helm
399,Team Ǐ,load balancing statistics generative ai
400,Team ǐ,grafana classification matplotlib
401,Team Ǒ,recommendation systems web performance chatbot
402,Team ǒ,iot autoML problem solving
403,Team Ǔ,jenkins documentation deep learning
404,Team ǔ,cross-browser testing gcp metasploit
405,Team Ǖ,tensorflow tcp/ip vscode
406,Team ǖ,autoML php api integration
407,Team Ǘ,infrastructure as code version control verilog
408,Team ǘ,java firebase lambda
409,Team Ǚ,data governance tableau vscode
410,Team ǚ,prometheus hadoop data wrangling
411,Team Ǜ,system administration mobile security power bi
412,Team ǜ,backend problem solving unsupervised learning
413,Team ǝ,kubernetes autoscaling scala
414,Team Ǟ,autoML data lakehouse langchain
415,Team ǟ,virtualbox cron jobs sonarqube
416,Team Ǡ,unsupervised learning recommendation systems web performance
417,Team ǡ,bitbucket lua ci/cd
418,Team Ǣ,dns deep learning php
419,Team ǣ,simulation cypress ids
420,Team Ǥ,langchain oop kotlin
421,Team ǥ,cloudfront cypress integration testing
422,Team Ǧ,tensorflow javascript raspberry pi
423,Team ǧ,code review java (android) webpack
424,Team Ǩ,bash scripting mlops infrastructure as code
425,Team ǩ,incident response slack predictive analytics
426,Team Ǫ,xcode firewall airflow
427,Team ǫ,frontend system monitoring visual studio
428,Team Ǭ,application security docker simulation
429,Team ǭ,logging bitbucket nodejs
430,Team Ǯ,react javascript vue
431,Team ǯ,cloud storage api ips
432,Team ǰ,flask image processing in-app payments
433,Team Ǳ,automation cross-browser testing slack
434,Team ǲ,proxy servers babel design patterns
435,Team ǳ,gitlab arduino model optimization
436,Team Ǵ,tailwind cryptography big data
437,Team ǵ,gcp pair programming recommendation systems
438,Team Ƕ,autocad microservices leadership
439,Team Ƿ,android studio process management gitlab ci
440,Team Ǹ,ansible cybersecurity model deployment
441,Team ǹ,bootstrap apache spark chatbot
442,Team Ǻ,model optimization typescript play store
443,Team ǻ,git dimensionality reduction in-app payments
444,Team Ǽ,eclipse keras matplotlib
445,Team ǽ,data wrangling machine learning serverless
446,Team Ǿ,scikit-learn wireshark data governance
447,Team ǿ,documentation bootstrap autoscaling
448,Team Ȁ,matlab classification database
449,Team ȁ,java speech recognition docker
450,Team Ȃ,data mining unsupervised learning artifact registry
451,Team ȃ,model deployment nestjs critical thinking
452,Team Ȅ,design patterns computer vision scada
453,Team ȅ,responsive design generative ai unit testing
454,Team Ȇ,in-app payments documentation postman
455,Team ȇ,virtualbox mechanical design llm
456,Team Ȉ,api integration matlab jest
457,Team ȉ,javascript new relic mocha
458,Team Ȋ,docker desktop slack metasploit
459,Team ȋ,gcp innovation functional programming
460,Team Ȍ,grafana matplotlib metasploit
461,Team ȍ,dotnet scikit-learn sql
462,Team Ȏ,virtualization jenkins redux
463,Team ȏ,cross-browser testing classification troubleshooting
464,Team Ȑ,system design soc web performance
465,Team ȑ,team collaboration tls pair programming
466,Team Ȓ,cryptography aws load balancing
467,Team ȓ,chatbot tailwind api development
468,Team Ȕ,trello swift macos
469,Team ȕ,scrum lua network architecture
470,Team Ȗ,feature engineering gcp go
471,Team ȗ,encryption matlab descriptive analytics
472,Team Ș,react native new relic scrum
473,Team ș,proxmox eclipse firebase
474,Team Ț,postman autoscaling ids
475,Team ț,mechanical design switching control systems
476,Team Ȝ,mobile security project management jira
477,Team ȝ,image processing svelte r
478,Team Ȟ,seaborn robotics release management
479,Team ȟ,visual studio documentation system monitoring
480,Team Ƞ,api development docker desktop transfer learning
481,Team ȡ,google cloud bash scripting gitkraken
482,Team Ȣ,matlab tcp/ip network architecture
483,Team ȣ,cypress shell scripting computer vision
484,Team Ȥ,linux data modeling virtualbox
485,Team ȥ,in-app payments asp.net ai
486,Team Ȧ,research reinforcement learning sql
487,Team ȧ,neural networks leadership hadoop
488,Team Ȩ,haskell documentation php
489,Team ȩ,anomaly detection bdd plc
490,Team Ȫ,recommendation systems mobile security mobile testing
491,Team ȫ,dotnet bitbucket infrastructure as code
492,Team Ȭ,monitoring routing s3
493,Team ȭ,ci/cd agile django
494,Team Ȯ,matplotlib agile web performance
495,Team ȯ,chatbot seaborn mlops
496,Team Ȱ,responsive design slack pycharm
497,Team ȱ,in-app payments project management code review
498,Team Ȳ,java (android) linux airflow
499,Team ȳ,play store performance optimization push notifications
500,Team ȴ,hyperparameter tuning ux network security
501,Team ȵ,regression kubernetes centos
502,Team ȶ,lambda llm backend
